Designator,Mid X,Mid Y,Layer,Rotation
"Battery","-5.828mm","65.4791mm","Top",180
"C1","-36.8969mm","7.3257mm","Top",270
"ESP1","17.583mm","16.4335mm","Top",180
"Flowmeter","-38.0646mm","-16.8314mm","Top",90
"Heater","4.2138mm","65.4791mm","Top",180
"HTU31","-37.21mm","-45.4811mm","Top",270
"Hygro1","29.9929mm","-24.0985mm","Top",180
"Hygro2","18.8868mm","-24.0985mm","Top",180
"Hygro3","7.8979mm","-23.9485mm","Top",180
"Hygro4","-3.0901mm","-24.0985mm","Top",180
"Q1","6.7139mm","51.6722mm","Top",180
"M1_J","24.2046mm","65.4874mm","Top",180
"M2_J","14.1979mm","65.4872mm","Top",180
"M3_J","-36.8869mm","59.8501mm","Top",270
"M4_J","-36.8871mm","29.7985mm","Top",270
"M5_J","-36.8875mm","49.8173mm","Top",270
"M6_J","-36.8873mm","39.8337mm","Top",270
"M1_Q","26.7046mm","57.5595mm","Top",90
"M2_Q","16.6979mm","57.5593mm","Top",90
"M3_Q","-28.959mm","62.3501mm","Top",180
"M4_Q","-28.9592mm","32.2985mm","Top",180
"M5_Q","-28.9596mm","52.3173mm","Top",180
"M6_Q","-28.9594mm","42.3337mm","Top",180
"M1_R1","21.3304mm","55.7345mm","Top",90
"M2_R1","11.3237mm","55.7343mm","Top",90
"M3_R1","-27.134mm","56.9759mm","Top",180
"M4_R1","-27.1342mm","26.9243mm","Top",180
"M5_R1","-27.1346mm","46.9431mm","Top",180
"M6_R1","-27.1344mm","36.9595mm","Top",180
"M1_R2","23.6644mm","57.3845mm","Top",90
"M2_R2","13.6577mm","57.3843mm","Top",90
"M3_R2","-28.784mm","59.3099mm","Top",180
"M4_R2","-28.7842mm","29.2583mm","Top",180
"M5_R2","-28.7846mm","49.2771mm","Top",180
"M6_R2","-28.7844mm","39.2935mm","Top",180
"OLED1","-22.0698mm","-42.9411mm","Bottom",0
"Q2","-28.6251mm","17.3459mm","Top",180
"R2","15.4561mm","1.1935mm","Top",0
"R3","15.4561mm","6.2737mm","Top",0
"R4","9.2539mm","45.5792mm","Top",90
"R6","12.2161mm","29.1337mm","Top",0
"R15","-26.2205mm","12.6073mm","Top",0
"R16","6.4025mm","46.404mm","Top",0
"R17","8.7229mm","-3.8864mm","Top",0
"R18","-26.2205mm","14.4323mm","Top",0
"R19","-20.2341mm","15.7593mm","Top",0
"R20","-25.0837mm","22.9885mm","Top",270
"R21","-24.1821mm","20.4368mm","Top",0
"R22","-23.0899mm","13.4323mm","Top",270
"RTC_Module","-7.2581mm","-44.2111mm","Top",180
"Snail_Fence","-36.8869mm","19.8459mm","Top",270
"SW2","-16.6401mm","-27.5mm","Bottom",0
"USB_Supply","-18.7739mm","66.0266mm","Top",180
"VR1","40mm","-61.85mm","Top",90
"VR2","40mm","20.65mm","Top",90
"VR3","40mm","-19.85mm","Top",90
"VR4","40mm","61.65mm","Top",90
"WaterAvailable","-37.21mm","-4.1mm","Top",270
